FID,SOLMUTUNNU,LYHYTTUNNU,SOLMUTYYPP,X,Y,PROJ_X,PROJ_Y,NIMI1,NAMN1,NIMI2,NAMN2,REI_VOIM,AIK_VOIM,VERKKO,PYSAKKITYY,X-koord.,Y-koord.
"871","1140217",H1917,P,"2551076","6675656","2551063","6675647",Kansaneläkelaitos,Folkpensionsanst.,Mannerheimintie 49,Mannerheimvägen 49,"0","0","1","99",24.9174067100,60.1892906500
"872","1140218",H1916,P,"2551039","6675643","2551055","6675656",Kansaneläkelaitos,Folkpensionsanst.,Mannerheimintie 102,Mannerheimvägen 102,"0","0","1","99",24.9167366500,60.1891785900
"873","1140225",H2070,P,"2551192","6675669","2551211","6675655",Jäähalli,Ishallen,Nordenskiöldinkatu,Nordenskiöldsgatan,"0","0","1","99",24.9195005000,60.1893928400
"874","1140226",H2069,P,"2551219","6675655","2551214","6675659",Jäähalli,Ishallen,Nordenskiöldinkatu,Nordenskiöldsgatan,"0","0","1","99",24.9199835800,60.1892638300
"875","1140228",H1312,P,"2551357","6674570","2551372","6674578",Töölöntori,Tölö torg,Topeliuksenkatu,Topeliusgatan,"0","0","1","99",24.9221976000,60.1795095100
"876","1140230",,P,"2551253","6674782","2551259","6674785",Töölön sairaala,Tölö sjukhus,Topeliuksenkatu,Topeliusgatan,"0","0","0","99",24.9203771000,60.1814250700
"877","1140233",H1319,P,"2551002","6675267","2550996","6675264",Kirjailijan puisto,Författarparken,Topeliuksenkatu 27,Topeliusgatan 27,"0","0","1","99",24.9159758700,60.1858088900
"878","1140251",H2064,P,"2551491","6675079","2551482","6675090",Töölön kisahalli,Tölö sporthall,Toivonkatu,Toivogatan,"0","0","1","01",24.9247401800,60.1840605800
"879","1140253",H1328,P,"2551219","6675020","2551219","6675036",Ratikkamuseo,Spåramuseet,Eino Leinon katu 10,Eino Leinos gata 10,"0","0","1","99",24.9198242200,60.1835651900
"880","1140254",,P,"2551045","6675142","2551062","6675152",Linnankoskenkatu,Linnankoskigatan,Topeliuksenkatu 10,Topeliusgatan 10,"0","0","1","99",24.9167194700,60.1846817500
"881","1140263",,P,"2551028","6674632","2551016","6674630",Kivelän sairaala,Stengårds sjukhus,Mechelininkatu,Mechelinsgatan,"0","0","1","99",24.9162856700,60.1801070000
"882","1140264",,P,"2550998","6674634","2551014","6674639",Kivelän sairaala,Stengårds sjukhus,Mechelininkatu,Mechelinsgatan,"0","0","1","99",24.9157456600,60.1801286800
"883","1140265",,P,"2551001","6675053","2550989","6675055",Rajasaarentie,Råholmsvägen,Mechelininkatu 39,Mechelinsgatan 39,"0","0","1","99",24.9159043800,60.1838885200
"884","1140266",,P,"2550955","6674951","2550976","6674950",Rajasaarentie,Råholmsvägen,Mechelininkatu,Mechelinsgatan,"0","0","1","99",24.9150500500,60.1829788700
"885","1140269",,P,"2551105","6675420","2551101","6675421",Kansaneläkelaitos,Folkpensionsanst.,Nordenskiöldinkatu 3,Nordenskiöldsgatan 3,"0","0","1","99",24.9178702400,60.1871691100
"886","1140270",,P,"2551090","6675425","2551101","6675422",Kansaneläkelaitos,Folkpensionsanst.,Nordenskiöldinkatu,Nordenskiöldsgatan,"0","0","1","99",24.9176011800,60.1872158500
"887","1140296",H2062,P,"2551727","6674864","2551718","6674883",Ooppera,Operan,Helsinginkatu 58,Helsingegatan 58,"0","0","1","99",24.9289381700,60.1821014100
"888","1140297",H2185,P,"2551775","6674939","2551785","6674927",Ooppera,Operan,Helsinginkatu,Helsingegatan,"0","0","1","99",24.9298220500,60.1827684200
"889","1140434",H0129,P,"2551530","6674812","2551517","6674803",Ruusulankatu,Rosavillagatan,Ruusulankatu,Rosavillagatan,"0","0","3","99",24.9253755200,60.1816595700
"890","1140435",,P,"2551499","6674795","2551515","6674806",Ruusulankatu,Rosavillagatan,Ruusulankatu,Rosavillagatan,"0","0","3","99",24.9248126900,60.1815109000
"891","1140436",H0107,P,"2551599","6674885","2551596","6674882",Ooppera,Operan,Mannerheimintie,Mannerheimvägen,"1","1","3","01",24.9266371900,60.1823060000
"892","1140437",H0108,P,"2551615","6674849","2551619","6674853",Ooppera,Operan,Mannerheimintie 58,Mannerheimvägen 58,"1","1","3","01",24.9269163800,60.1819809200
"893","1140438",H0109,P,"2551299","6675266","2551295","6675263",Töölön halli,Tölö hall,Mannerheimintie 29,Mannerheimvägen 29,"1","1","3","01",24.9213275400,60.1857628400
"894","1140439",H0110,P,"2551362","6675162","2551366","6675165",Töölön halli,Tölö hall,Mannerheimintie 76,Mannerheimvägen 76,"1","1","3","01",24.9224366200,60.1848216300
"895","1140440",H0641,P,"2551175","6675587","2551171","6675588",Kansaneläkelaitos,Folkpensionsanst.,Nordenskiöldinkatu 9,Nordenskiöldsgatan 9,"1","1","3","01",24.9191735600,60.1886590800
"896","1140441",H0112,P,"2551175","6675436","2551179","6675439",Kansaneläkelaitos,Folkpensionsanst.,Mannerheimintie 94,Mannerheimvägen 94,"1","1","3","01",24.9191357000,60.1873039700
"897","1140443",H0100,P,"2551450","6675018","2551459","6675024",Töölön halli,Tölö hall,Mannerheimintie 72,Mannerheimvägen 72,"0","0","3","04",24.9239860300,60.1835183100
"898","1140444",H0130,P,"2551455","6674948","2551447","6674958",Sibeliuksenkatu,Sibeliusgatan,Sibeliuksenkatu,Sibeliusgatan,"0","0","3","99",24.9240584800,60.1828894800
"899","1140446",H0111,P,"2551110","6675600","2551097","6675593",Kansaneläkelaitos,Folkpensionsanst.,Mannerheimintie 47,Mannerheimvägen 47,"1","1","3","01",24.9180054200,60.1887838500
"900","1140447",H0209,P,"2551444","6674590","2551441","6674592",Töölöntori,Tölö torg,Runeberginkatu 55,Runebergsgatan 55,"1","1","3","01",24.9237700700,60.1796780900
"901","1140449",H0210,P,"2551430","6674577","2551434","6674575",Töölöntori,Tölö torg,Runeberginkatu 46,Runebergsgatan 46,"1","1","3","01",24.9235145700,60.1795631800
"902","1140450",H0241,P,"2551689","6674851","2551685","6674858",Ooppera,Operan,Helsinginkatu,Helsingegatan,"1","0","3","01",24.9282502000,60.1819895400
"903","1140451",H0242,P,"2551654","6674863","2551666","6674845",Ooppera,Operan,Helsinginkatu,Helsingegatan,"1","0","3","01",24.9276226100,60.1821016400
"904","1140452",H0243,P,"2551895","6675127","2551888","6675128",Kaupunginpuutarha,Stadsträdgården,Helsinginkatu,Helsingegatan,"1","0","3","01",24.9320320300,60.1844403900
"905","1140453",H0244,P,"2551876","6675100","2551882","6675099",Kaupunginpuutarha,Stadsträdgården,Helsinginkatu,Helsingegatan,"1","0","3","01",24.9316828000,60.1842004900
"906","1140900",XH1102,P,"2550712","6675227","2550716","6675229",Lastenlinna,Barnets borg,Lastenlinnantie 2,Barnets Borgs Väg 2,"0","0","0","99",24.9107401400,60.1854859000
"907","1140901",XH1105,P,"2551429","6674770","2551430","6674771",Töölön Vanhustenkesk,Tölö åldringscentrum,Töölönkatu 33,Tölögatan 33,"0","0","0","99",24.9235451600,60.1812953300
